name,path,has_oms,has_carbon,has_hydrogen,has_atomic_overlaps,has_overcoordinated_c,has_metal,density
DUCGEO_clean,/home/kevin/mof_core2/DUCGEO_clean.cif,True,True,True,False,False,True,0.9759083957460533
ja501810r_si_002_clean,/home/kevin/mof_core2/ja501810r_si_002_clean.cif,True,True,True,False,True,True,0.7674195365220094
FEVNOK_clean,/home/kevin/mof_core2/FEVNOK_clean.cif,False,True,True,False,False,True,1.7710226485936407
BORBEQ_clean,/home/kevin/mof_core2/BORBEQ_clean.cif,True,True,True,False,False,True,1.1026200941649276
KIPJOK_clean,/home/kevin/mof_core2/KIPJOK_clean.cif,False,True,True,False,False,True,1.6447525549357391
ABEFUL_clean,/home/kevin/mof_core2/ABEFUL_clean.cif,False,True,True,False,False,True,1.5510556300646003
COKQOK_clean,/home/kevin/mof_core2/COKQOK_clean.cif,False,True,True,False,False,True,1.2266493016229059
FUNBAS_clean,/home/kevin/mof_core2/FUNBAS_clean.cif,False,True,True,False,False,True,1.1104500444239596
RIRDIH_clean,/home/kevin/mof_core2/RIRDIH_clean.cif,True,True,True,False,False,True,1.5356020437349187
NEHGIS_clean,/home/kevin/mof_core2/NEHGIS_clean.cif,True,True,True,False,False,True,1.3444715829004417
SUPSIG_clean,/home/kevin/mof_core2/SUPSIG_clean.cif,True,True,True,False,False,True,1.151115297599791
ATAYAX_clean,/home/kevin/mof_core2/ATAYAX_clean.cif,True,True,True,False,False,True,0.7819064866682741
KOGYIP_clean,/home/kevin/mof_core2/KOGYIP_clean.cif,True,True,True,False,False,True,1.3894729575836524
KOTSIX_clean,/home/kevin/mof_core2/KOTSIX_clean.cif,True,True,True,False,False,True,1.2413436547597343
OWIJOV_clean,/home/kevin/mof_core2/OWIJOV_clean.cif,False,True,True,False,False,True,1.3256446549320422
WEYQAU10_clean,/home/kevin/mof_core2/WEYQAU10_clean.cif,True,False,False,False,False,True,1.1039121399565204
YOZYUJ_clean,/home/kevin/mof_core2/YOZYUJ_clean.cif,True,True,True,False,False,True,1.049354727233635
CAKXOD_clean,/home/kevin/mof_core2/CAKXOD_clean.cif,True,True,True,False,False,True,2.006409655524734
CUKXAJ_clean,/home/kevin/mof_core2/CUKXAJ_clean.cif,False,True,True,False,False,True,1.8570235137085014
RUGNUE_clean,/home/kevin/mof_core2/RUGNUE_clean.cif,False,True,True,False,False,True,1.4905066836031016
HAZSIL_clean,/home/kevin/mof_core2/HAZSIL_clean.cif,True,True,True,False,False,True,1.1985091163103332
RONSOE_clean,/home/kevin/mof_core2/RONSOE_clean.cif,True,True,True,True,False,True,1.3402841516822672
HOMXIR_manual,/home/kevin/mof_core2/HOMXIR_manual.cif,True,True,True,False,False,True,0.39445907934467034
HOVJIN_clean,/home/kevin/mof_core2/HOVJIN_clean.cif,True,True,True,False,False,True,2.326327390569089
HEBNOT_clean,/home/kevin/mof_core2/HEBNOT_clean.cif,True,True,True,False,False,True,2.0588523642549177
XUZFUU_clean,/home/kevin/mof_core2/XUZFUU_clean.cif,True,True,True,False,False,True,1.5462455992356658
TAWSUI_clean,/home/kevin/mof_core2/TAWSUI_clean.cif,True,True,True,False,False,True,1.5617059742667323
WILNEL01_clean,/home/kevin/mof_core2/WILNEL01_clean.cif,False,True,True,False,False,True,1.1049017460680568
BIJDUV_clean,/home/kevin/mof_core2/BIJDUV_clean.cif,True,True,True,False,False,True,0.8966570570902345
YEBKOG_clean,/home/kevin/mof_core2/YEBKOG_clean.cif,False,False,False,False,False,True,1.8688020073838947
XAKYUE_clean,/home/kevin/mof_core2/XAKYUE_clean.cif,False,True,True,False,False,True,0.881130551231443
ASINEX_clean,/home/kevin/mof_core2/ASINEX_clean.cif,True,True,True,False,False,True,0.6599876931527091
OJONOQ_clean,/home/kevin/mof_core2/OJONOQ_clean.cif,True,False,False,False,False,True,1.4991548769625556
HUNBEX_clean,/home/kevin/mof_core2/HUNBEX_clean.cif,True,False,False,False,False,True,1.3488448443248922
KUFBEU_clean,/home/kevin/mof_core2/KUFBEU_clean.cif,False,False,False,False,False,True,2.0550405167361614
IGAHED02_clean,/home/kevin/mof_core2/IGAHED02_clean.cif,True,True,True,False,False,True,1.5365554438398965
DONKIC_clean,/home/kevin/mof_core2/DONKIC_clean.cif,True,True,True,False,False,True,1.0345008742903263
MATVIN_clean,/home/kevin/mof_core2/MATVIN_clean.cif,False,True,True,False,False,True,1.6229158758599525
GITZAM_clean,/home/kevin/mof_core2/GITZAM_clean.cif,False,True,True,False,False,True,1.4165315087901804
c6ra27069g_c6ra27069g2_clean,/home/kevin/mof_core2/c6ra27069g_c6ra27069g2_clean.cif,True,True,True,False,False,True,1.357785674341938
DUTKAG_clean,/home/kevin/mof_core2/DUTKAG_clean.cif,True,True,True,False,False,True,0.9068963667449845
SIKYER_clean,/home/kevin/mof_core2/SIKYER_clean.cif,True,True,True,False,False,True,1.210891988056478
DUKDOD_clean,/home/kevin/mof_core2/DUKDOD_clean.cif,True,True,True,True,False,True,2.055798660541658
JASNEX_clean,/home/kevin/mof_core2/JASNEX_clean.cif,False,True,True,False,False,True,1.4957321482865416
DUWROE_clean,/home/kevin/mof_core2/DUWROE_clean.cif,False,True,True,False,False,True,1.3646176998463144
BOFCEG_clean,/home/kevin/mof_core2/BOFCEG_clean.cif,True,True,True,False,False,True,1.350518702496842
acs.inorgchem.6b02332_ic6b02332_si_003_clean,/home/kevin/mof_core2/acs.inorgchem.6b02332_ic6b02332_si_003_clean.cif,False,True,True,False,False,True,1.2348201992984418
YEQRIV_clean,/home/kevin/mof_core2/YEQRIV_clean.cif,True,False,False,False,False,True,0.742264574246844
OHUMEL_clean,/home/kevin/mof_core2/OHUMEL_clean.cif,True,True,True,False,False,True,0.8089052600013408
LUSHUD_clean,/home/kevin/mof_core2/LUSHUD_clean.cif,False,True,True,False,False,True,1.2719718380834983
YOYRAH_clean,/home/kevin/mof_core2/YOYRAH_clean.cif,False,True,True,False,False,True,1.0671813604426563
ROQMER02_clean,/home/kevin/mof_core2/ROQMER02_clean.cif,False,False,False,False,False,True,1.0364819045290137
KUNLEL_clean,/home/kevin/mof_core2/KUNLEL_clean.cif,True,True,True,False,False,True,1.4428276045103439
WECBOX_clean,/home/kevin/mof_core2/WECBOX_clean.cif,False,True,True,False,False,True,1.527341508263935
BELTOD_clean,/home/kevin/mof_core2/BELTOD_clean.cif,True,True,True,False,False,True,1.0342631030825427
QOFDIA03_clean,/home/kevin/mof_core2/QOFDIA03_clean.cif,True,True,True,False,False,True,1.3323496903310117
NENHEU_clean,/home/kevin/mof_core2/NENHEU_clean.cif,True,True,True,True,False,True,1.106855437960988
KEYFUR_clean,/home/kevin/mof_core2/KEYFUR_clean.cif,False,True,True,False,False,True,1.6414968773773109
